Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error,IV_RH,Residual_IV,Abs_error_IV
2023-04-21,220,0.601585671914214,3900,0.9906747214387668,3999.292067136095,0.9751725891809652,Put,SPX,SPX230421P03900000,248.35,0.2482,0.0376199246669976,0.977622566109984,0.2467449110015516,248.3500000000001,1.4210854715202006e-13,0.0014550889984483,0.24292225610070015,-0.0038226549008514576,0.0038226549008514576
2023-04-21,220,0.601585671914214,3975,1.0097261583895123,3999.292067136095,0.993925908203676,Put,SPX,SPX230421P03975000,277.55,0.2417,0.0376199246669976,0.977622566109984,0.2401811038228115,277.54999999999995,5.684341886080803e-14,0.0015188961771884,0.23613168845503119,-0.004049415367780307,0.004049415367780307
2023-04-21,220,0.601585671914214,4050,1.0287775953402578,3999.292067136095,1.012679227226387,Call,SPX,SPX230421C04050000,262.25,0.2354,0.0376199246669976,0.977622566109984,0.2355346366701862,262.2500000000002,2.273736754432321e-13,0.0001346366701862,0.22956533269197923,-0.005969303978206969,0.005969303978206969
2023-04-21,220,0.601585671914214,4125,1.047829032291003,3999.292067136095,1.031432546249098,Call,SPX,SPX230421C04125000,223.3,0.2284,0.0376199246669976,0.977622566109984,0.2285645357077179,223.2999999999863,1.3699263945454732e-11,0.0001645357077179,0.22328600997149406,-0.005278525736223838,0.005278525736223838
2023-04-21,220,0.601585671914214,4225,1.0732309482253308,3999.292067136095,1.0564369716127122,Call,SPX,SPX230421C04225000,177.7,0.2204,0.0376199246669976,0.977622566109984,0.2205992916831203,177.6999999999532,4.6782133722444996e-11,0.0001992916831203,0.2154879814913113,-0.005111310191809021,0.005111310191809021
2023-04-21,220,0.601585671914214,4300,1.0922823851760763,3999.292067136095,1.0751902906354232,Call,SPX,SPX230421C04300000,146.8,0.2141,0.0376199246669976,0.977622566109984,0.2143021357197617,146.80000000000064,6.252776074688883e-13,0.0002021357197617,0.210169712090453,-0.004132423629308712,0.004132423629308712
2023-04-21,220,0.601585671914214,4375,1.111333822126822,3999.292067136095,1.093943609658134,Call,SPX,SPX230421C04375000,119.1,0.2078,0.0376199246669976,0.977622566109984,0.2079605371706395,119.10000000000014,1.4210854715202006e-13,0.0001605371706394,0.20538354221249433,-0.0025769949581451734,0.0025769949581451734
2023-04-21,220,0.601585671914214,4475,1.1367357380611491,3999.292067136095,1.1189480350217484,Call,SPX,SPX230421C04475000,88.0,0.2,0.0376199246669976,0.977622566109984,0.2002345365175824,87.99999999983174,1.6825651982799172e-10,0.0002345365175824,0.19992147271426478,-0.00031306380331763695,0.00031306380331763695
2023-04-21,220,0.601585671914214,4550,1.1557871750118949,3999.292067136095,1.1377013540444594,Call,SPX,SPX230421C04550000,68.75,0.1947,0.0376199246669976,0.977622566109984,0.1948611616590486,68.74999999999955,4.547473508864641e-13,0.0001611616590485,0.19655564613374926,0.0016944844747006638,0.0016944844747006638
2023-04-21,220,0.601585671914214,4625,1.1748386119626402,3999.292067136095,1.1564546730671703,Call,SPX,SPX230421C04625000,52.95,0.19,0.0376199246669976,0.977622566109984,0.1900795164536213,52.9500000000005,4.973799150320701e-13,7.951645362133664e-05,0.1938244052463324,0.003744888792711093,0.003744888792711093
2023-04-21,220,0.601585671914214,4700,1.1938900489133857,3999.292067136095,1.175207992089881,Call,SPX,SPX230421C04700000,40.400000000000006,0.186,0.0376199246669976,0.977622566109984,0.1860996538134506,40.39999999999941,5.968558980384843e-13,9.965381345067303e-05,0.19171007662554085,0.00561042281209026,0.00561042281209026
2023-04-21,220,0.601585671914214,4800,1.219291964847713,3999.292067136095,1.2002124174534956,Call,SPX,SPX230421C04800000,27.85,0.1819,0.0376199246669976,0.977622566109984,0.1819072322171527,27.849999999999568,4.334310688136611e-13,7.232217152680631e-06,0.18977929523003859,0.0078720630128859,0.0078720630128859
2023-04-21,220,0.601585671914214,4900,1.2446938807820405,3999.292067136095,1.2252168428171102,Call,SPX,SPX230421C04900000,18.7,0.1781,0.0376199246669976,0.977622566109984,0.1780892990117873,18.69999999999948,5.222489107836736e-13,1.0700988212652971e-05,0.1887297341430365,0.01064043513124921,0.01064043513124921
2023-05-19,248,0.6782454939539129,2825,0.7176041251447478,4007.5759789398408,0.7049148949004636,Put,SPX,SPX230519P02825000,51.0,0.3507,0.0377075196511843,0.9747493136084248,0.3494822116565592,51.00000000004985,4.985167834092863e-11,0.0012177883434408,0.3442862716901984,-0.0051959399663608075,0.0051959399663608075
2023-05-19,248,0.6782454939539129,2925,0.7430060410790751,4007.5759789398408,0.7298676345429578,Put,SPX,SPX230519P02925000,59.5,0.3392,0.0377075196511843,0.9747493136084248,0.3379555132597056,59.5000000000021,2.103206497849897e-12,0.0012444867402943,0.33436218128316225,-0.0035933319765433236,0.0035933319765433236
2023-05-19,248,0.6782454939539129,3000,0.7620574780298206,4007.5759789398408,0.7485821892748286,Put,SPX,SPX230519P03000000,66.9,0.331,0.0377075196511843,0.9747493136084248,0.3297623396649815,66.90000000000009,8.526512829121202e-14,0.0012376603350185,0.3269751999776913,-0.0027871396872901633,0.0027871396872901633
2023-05-19,248,0.6782454939539129,3100,0.787459393964148,4007.5759789398408,0.7735349289173228,Put,SPX,SPX230519P03100000,78.3,0.3205,0.0377075196511843,0.9747493136084248,0.3193393458454064,78.30000000000848,8.483880264975596e-12,0.0011606541545935,0.3171971774169937,-0.002142168428412694,0.002142168428412694
2023-05-19,248,0.6782454939539129,3175,0.8065108309148935,4007.5759789398408,0.7922494836491935,Put,SPX,SPX230519P03175000,88.15,0.3131,0.0377075196511843,0.9747493136084248,0.3118755128057057,88.1500000000002,1.9895196601282805e-13,0.0012244871942942,0.3099228446671574,-0.0019526681385482747,0.0019526681385482747
2023-05-19,248,0.6782454939539129,3275,0.8319127468492209,4007.5759789398408,0.8172022232916878,Put,SPX,SPX230519P03275000,103.2,0.3035,0.0377075196511843,0.9747493136084248,0.3022968733036105,103.19999999999824,1.7763568394002505e-12,0.0012031266963895,0.30030677176127424,-0.0019901015423362534,0.0019901015423362534
2023-05-19,248,0.6782454939539129,3350,0.8509641837999664,4007.5759789398408,0.8359167780235585,Put,SPX,SPX230519P03350000,116.0,0.2966,0.0377075196511843,0.9747493136084248,0.2952717401257289,116.00000000008151,8.151346264639868e-11,0.001328259874271,0.29315360320928124,-0.0021181369164476327,0.0021181369164476327
2023-05-19,248,0.6782454939539129,3450,0.8763660997342937,4007.5759789398408,0.8608695176660528,Put,SPX,SPX230519P03450000,135.6,0.2877,0.0377075196511843,0.9747493136084248,0.2863887508648085,135.59999999999968,3.1263880373444413e-13,0.0013112491351914,0.2836902579246949,-0.002698492940113595,0.002698492940113595
2023-05-19,248,0.6782454939539129,3525,0.8954175366850392,4007.5759789398408,0.8795840723979235,Put,SPX,SPX230519P03525000,152.05,0.281,0.0377075196511843,0.9747493136084248,0.2797229490207629,152.04999999995687,4.314415491535328e-11,0.0012770509792371,0.2766535996272717,-0.003069349393491183,0.003069349393491183
2023-05-19,248,0.6782454939539129,3625,0.9208194526193666,4007.5759789398408,0.9045368120404178,Put,SPX,SPX230519P03625000,176.85000000000002,0.2725,0.0377075196511843,0.9747493136084248,0.2710949144508279,176.85000000001833,1.8303580873180178e-11,0.001405085549172,0.26737434582542735,-0.0037205686254005443,0.0037205686254005443
