Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error,IV_RH__base_80_128_L10,Residual__base_80_128_L10,IV_RH__fine_160_256_L10,Residual__fine_160_256_L10,IV_RH__veryfine_320_512_L10,Residual__veryfine_320_512_L10,IV_RH__fine_160_256_L8,Residual__fine_160_256_L8,IV_RH__fine_160_256_L12,Residual__fine_160_256_L12,Delta_IV__160_256_vs_80_128,Delta_IV__320_512_vs_160_256,Delta_IV__L8_vs_L10_fine,Delta_IV__L12_vs_L10_fine
2023-07-21,311,0.8507300935432353,4200,1.0668804692417488,4026.345921676482,1.0431294483140714,Call,SPX,SPX230721C04200000,253.95,0.2255,0.0378668434954496,0.968298895224149,0.2264769891709406,253.9499999996267,3.7329073165892623e-10,0.0009769891709406,0.22117169663716213,-0.005305292533778483,0.2214451262847671,-0.0050318628861735215,0.22152516327029162,-0.004951825900648993,0.22144520188661615,-0.005031787284324463,0.2214476749269684,-0.0050293142439722105,0.00027342964760496136,8.003698552452865e-05,7.560184905885947e-08,2.5486422013110133e-06
2023-07-21,311,0.8507300935432353,4275,1.0859319061924944,4026.345921676482,1.0617567598911084,Call,SPX,SPX230721C04275000,219.65,0.2199,0.0378668434954496,0.968298895224149,0.2208742811295611,219.6500000000001,8.526512829121202e-14,0.0009742811295611,0.21636553354845567,-0.004508747581105421,0.2166432811003656,-0.004231000029195492,0.21672338547089093,-0.004150895658670162,0.2166433535295773,-0.00423092759998378,0.21664583293732884,-0.004228448192232254,0.0002777475519099293,8.010437052533015e-05,7.242921171157768e-08,2.551836963238241e-06
2023-07-21,311,0.8507300935432353,4350,1.10498334314324,4026.345921676482,1.0803840714681454,Call,SPX,SPX230721C04350000,187.7,0.2141,0.0378668434954496,0.968298895224149,0.215102805182032,187.7000000000005,5.115907697472721e-13,0.0010028051820319,0.2118653004323104,-0.0032375047497216203,0.21214289730210842,-0.00295990787992359,0.21222297458768452,-0.0028798305943474878,0.21214297615645164,-0.0029598290255803683,0.21214544988028192,-0.002957355301750092,0.0002775968697980302,8.007728557610228e-05,7.885434322174589e-08,2.552578173498077e-06
2023-07-21,311,0.8507300935432353,4500,1.143086217044731,4026.345921676482,1.1176386946222192,Call,SPX,SPX230721C04500000,132.85,0.2034,0.0378668434954496,0.968298895224149,0.2043528331406412,132.849999999979,2.1003643269068558e-11,0.0009528331406412,0.2039190226406313,-0.0004338105000099013,0.20418914203386415,-0.000163691106777053,0.2042685412853874,-8.429185525379856e-05,0.20418923212125487,-0.00016360101938633909,0.2041919429322022,-0.00016089020843901292,0.0002701193932328483,7.939925152325444e-05,9.008739071392213e-08,2.800898338040092e-06
2023-07-21,311,0.8507300935432353,4700,1.1938900489133857,4026.345921676482,1.1673115254943178,Call,SPX,SPX230721C04700000,78.45,0.1912,0.0378668434954496,0.968298895224149,0.1920214811653845,78.45000000000016,1.5631940186722204e-13,0.0008214811653844,0.19578164197639972,0.003760160811015212,0.19606474270372035,0.0040432615383358406,0.19614128073146242,0.004119799566077914,0.1960648424425265,0.004043361277141999,0.19606809873126477,0.004046617565880262,0.00028310072732062874,7.653802774207352e-05,9.973880615854469e-08,3.356027544421103e-06
2023-07-21,311,0.8507300935432353,5000,1.2700957967163675,4026.345921676482,1.241820771802466,Call,SPX,SPX230721C05000000,32.4,0.1794,0.0378668434954496,0.968298895224149,0.1799287972424868,32.40000000007399,7.398881507469923e-11,0.0005287972424868,0.1889309462673841,0.009002149024897294,0.18927457783992838,0.009345780597441566,0.18934354173531096,0.009414744492824145,0.18927471377098337,0.009345916528496562,0.1892794762942851,0.009350679051798289,0.0003436315725442729,6.896389538257885e-05,1.3593105499531966e-07,4.898454356722093e-06
2023-09-15,367,1.004049737622633,2850,0.7239546041283296,4043.129158410221,0.7048995687094584,Put,SPX,SPX230915P02850000,80.05,0.3322,0.03796868171787,0.962595068801908,0.3302441054706642,80.05000000009358,9.35784782996052e-11,0.0019558945293358,0.3244494260484434,-0.005794679422220783,0.3249867096930288,-0.0052573957776353986,0.3250700065169123,-0.005174098953751871,0.3249870072857334,-0.0052570981849308085,0.3249957318412951,-0.005248373629369085,0.0005372836445853846,8.329682388352744e-05,2.9759270459006615e-07,9.022148266313312e-06
2023-09-15,367,1.004049737622633,2975,0.7557069990462388,4043.129158410221,0.7358162164598732,Put,SPX,SPX230915P02975000,95.15,0.321,0.03796868171787,0.962595068801908,0.3189722592328325,95.1500000000002,1.9895196601282805e-13,0.0020277407671674,0.31400941882654837,-0.004962840406284141,0.3145076925510021,-0.004464566681830429,0.3145888484546454,-0.004383410778187102,0.3145079514157769,-0.0044643078170555905,0.31451564686760564,-0.004456612365226875,0.0004982737244537128,8.115590364332625e-05,2.5886477483805237e-07,7.95431660355339e-06
2023-09-15,367,1.004049737622633,3075,0.7811089149805661,4043.129158410221,0.760549534660205,Put,SPX,SPX230915P03075000,109.0,0.3123,0.03796868171787,0.962595068801908,0.3102331261047727,108.99999999999773,2.273736754432321e-12,0.0020668738952272,0.3057973268194142,-0.004435799285358533,0.3062636187278605,-0.003969507376912207,0.3063432531189402,-0.003889872985832543,0.30626385562830694,-0.0039692704764657805,0.30627090854883104,-0.003962217555941672,0.00046629190844632573,7.963439107966375e-05,2.369004464264357e-07,7.28982097053521e-06
2023-09-15,367,1.004049737622633,3175,0.8065108309148935,4043.129158410221,0.7852828528605369,Put,SPX,SPX230915P03175000,124.75,0.304,0.03796868171787,0.962595068801908,0.3018626159065343,124.750000000025,2.5011104298755527e-11,0.0021373840934656,0.2977060732139089,-0.004156542692625387,0.29813907768714637,-0.003723538219387923,0.2982173604382308,-0.0036452554683034655,0.2981392979089727,-0.0037233179975615927,0.29814572584018223,-0.003716890066352063,0.00043300447323746383,7.828275108445748e-05,2.202218263303024e-07,6.64815303585975e-06
